NodeName,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,0.0920784,-0.454719,0.265262,0.77766,-0.00451697,0.485898,0.190814,-0.480572,0.387627,-30.6298,-6.01934,-12.3863,-0.297634,-1.37464,0.00646084,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920766,-0.454737,0.265264,0.777635,-0.00454718,0.485862,0.190816,-0.480574,0.387625,-30.8719,-6.05741,-12.5669,-0.311517,-1.39109,0.00684874,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.092079,-0.454751,0.265264,0.777613,-0.00458124,0.485834,0.190818,-0.480577,0.387623,-31.4559,-5.93844,-12.8835,-0.33049,-1.4046,0.0107628,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920808,-0.454766,0.265266,0.777585,-0.00460883,0.48581,0.19082,-0.480579,0.387621,-31.7917,-5.56613,-13.4295,-0.34707,-1.42519,0.00557431,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920789,-0.454779,0.265266,0.777562,-0.00462986,0.48578,0.190821,-0.480581,0.387619,-31.7306,-5.54022,-14.1712,-0.361176,-1.44215,0.0161088,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920731,-0.454793,0.265267,0.777541,-0.00463947,0.485746,0.190823,-0.480583,0.387617,-31.1786,-5.66399,-15.0468,-0.383019,-1.47591,0.0128598,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920663,-0.454808,0.265269,0.777519,-0.00464223,0.485708,0.190825,-0.480585,0.387615,-30.9602,-5.78498,-15.5289,-0.400847,-1.48938,0.00699359,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920543,-0.454823,0.265269,0.777501,-0.00464156,0.485661,0.190827,-0.480586,0.387613,-30.8031,-6.29586,-15.8729,-0.406126,-1.4833,0.0141416,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920385,-0.454837,0.265269,0.777487,-0.00463303,0.48561,0.190828,-0.480588,0.387612,-30.5755,-6.69909,-15.9951,-0.382647,-1.46757,0.0213325,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920385,-0.454837,0.265269,0.777487,-0.00463303,0.48561,0.190828,-0.480588,0.387612,-30.5755,-6.69909,-15.9951,-0.382647,-1.46757,0.0213325,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
