NodeName,index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7
Start,51,458.59,-71.3649,226.811,0.0186053,0.867173,1.26986,488.698,-211.846,346.326,-33.8167,-1.00497,1.11333,0.0576481,-1.45992,-0.0410863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,52,458.56,-71.3598,226.789,0.0186611,0.86724,1.26984,488.7,-211.847,346.323,-33.0939,-2.23762,1.24902,0.108314,-1.43601,-0.0675137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,53,458.525,-71.3556,226.765,0.0187023,0.867315,1.26984,488.702,-211.849,346.321,-32.7294,-3.11193,1.60857,0.153727,-1.38796,-0.0622293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,54,458.443,-71.3434,226.724,0.0187323,0.867483,1.26988,488.706,-211.852,346.317,-31.8231,-4.06031,2.12682,0.113518,-1.3983,-0.0200965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,55,458.443,-71.3434,226.724,0.0187323,0.867483,1.26988,488.706,-211.852,346.317,-31.8231,-4.06031,2.12682,0.113518,-1.3983,-0.0200965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,56,458.351,-71.3184,226.688,0.0187255,0.86765,1.26998,488.709,-211.854,346.312,-31.3512,-4.90738,2.33191,0.0454318,-1.43333,-0.0525724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,57,458.305,-71.3044,226.673,0.0187354,0.867735,1.27003,488.711,-211.856,346.311,-31.1579,-5.80697,2.76515,0.0799389,-1.41932,-0.028766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,58,458.258,-71.2906,226.66,0.0187444,0.867819,1.27008,488.713,-211.857,346.309,-30.8396,-6.77805,3.37599,0.141105,-1.40878,0.00255635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,59,458.206,-71.279,226.649,0.01877,0.867909,1.27012,488.714,-211.858,346.307,-30.7976,-7.82199,3.84963,0.173918,-1.39849,-0.00122295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,60,458.156,-71.2621,226.64,0.0187882,0.867996,1.27019,488.716,-211.859,346.305,-30.4139,-8.5519,4.50458,0.174608,-1.4097,-0.0501805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,61,458.111,-71.248,226.63,0.0188093,0.868076,1.27025,488.717,-211.86,346.303,-29.8012,-8.22584,4.93264,0.179866,-1.41554,-0.0929311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,62,458.071,-71.2311,226.624,0.0188492,0.868153,1.2703,488.718,-211.861,346.302,-29.5438,-7.4475,4.44387,0.164164,-1.38883,-0.0716867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,63,458.033,-71.2149,226.62,0.0188864,0.868228,1.27034,488.72,-211.862,346.3,-29.651,-6.43895,4.16829,0.118818,-1.36204,-0.00976436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,64,457.999,-71.1938,226.62,0.0189111,0.868288,1.27041,488.721,-211.863,346.299,-30.2113,-5.41714,4.89929,0.0652826,-1.35966,0.00766031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,65,457.999,-71.1938,226.62,0.0189111,0.868288,1.27041,488.721,-211.863,346.299,-30.2113,-5.41714,4.89929,0.0652826,-1.35966,0.00766031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,66,457.937,-71.1549,226.633,0.0189777,0.868378,1.27055,488.723,-211.865,346.296,-30.9337,-4.3558,5.14985,0.024217,-1.45311,-0.098826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,67,457.937,-71.1549,226.633,0.0189777,0.868378,1.27055,488.723,-211.865,346.296,-30.9337,-4.3558,5.14985,0.024217,-1.45311,-0.098826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,68,457.892,-71.1264,226.653,0.0190489,0.868454,1.27065,488.725,-211.867,346.293,-31.1265,-4.45671,6.78201,0.0779367,-1.44927,-0.0246112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,69,457.892,-71.1264,226.653,0.0190489,0.868454,1.27065,488.725,-211.867,346.293,-31.1265,-4.45671,6.78201,0.0779367,-1.44927,-0.0246112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,70,457.836,-71.109,226.677,0.0190638,0.868544,1.27086,488.728,-211.869,346.29,-29.4791,-3.15654,6.05767,0.00722913,-1.34524,-0.0944127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,71,457.825,-71.1053,226.688,0.0190596,0.868564,1.27093,488.729,-211.87,346.289,-28.5904,-2.62698,6.15372,-0.0391081,-1.31842,-0.0726544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,72,457.818,-71.1028,226.699,0.0190488,0.868578,1.271,488.73,-211.87,346.288,-28.4751,-1.70733,5.86487,0.00119584,-1.277,-0.0272526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,73,457.813,-71.1022,226.709,0.0190432,0.868588,1.27105,488.731,-211.871,346.287,-28.3305,-2.35033,5.68489,0.035956,-1.26584,-0.0123602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,74,457.806,-71.103,226.721,0.0190212,0.868592,1.27112,488.731,-211.872,346.286,-29.1923,-2.66755,6.45829,0.0893392,-1.25904,-0.0330616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,75,457.803,-71.1093,226.732,0.0189982,0.868592,1.27117,488.732,-211.872,346.285,-29.8182,-3.70255,8.00266,0.100725,-1.28759,-0.0486201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,76,457.803,-71.1093,226.732,0.0189982,0.868592,1.27117,488.732,-211.872,346.285,-29.8182,-3.70255,8.00266,0.100725,-1.28759,-0.0486201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,77,457.799,-71.1224,226.744,0.0189495,0.868591,1.27126,488.733,-211.873,346.284,-31.0072,-4.79566,7.67523,0.151553,-1.32398,-0.0246215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,78,457.807,-71.1323,226.747,0.0189238,0.868582,1.27128,488.734,-211.874,346.283,-31.007,-5.00082,7.83019,0.170474,-1.3129,-0.0139762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,79,457.814,-71.1418,226.748,0.0188987,0.868571,1.27131,488.735,-211.874,346.282,-31.2017,-4.6966,7.84793,0.172776,-1.27307,-0.0104664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,80,457.821,-71.1533,226.747,0.0188857,0.868561,1.27131,488.735,-211.875,346.281,-30.7521,-4.50989,7.07154,0.136781,-1.2682,-0.012227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,81,457.83,-71.1659,226.746,0.018869,0.868544,1.27131,488.736,-211.875,346.281,-30.4798,-3.76342,6.27032,0.121988,-1.2686,-0.0170697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,82,457.841,-71.1762,226.745,0.0188694,0.868525,1.27129,488.736,-211.875,346.28,-30.4747,-3.71145,6.10209,0.103362,-1.2599,-0.0251012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,83,457.841,-71.1762,226.745,0.0188694,0.868525,1.27129,488.736,-211.875,346.28,-30.4747,-3.71145,6.10209,0.103362,-1.2599,-0.0251012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,84,457.864,-71.1912,226.743,0.01888,0.868487,1.27124,488.737,-211.876,346.279,-31.715,-3.87971,6.22776,0.139982,-1.25357,-0.0167785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,85,457.873,-71.1966,226.744,0.0188819,0.868469,1.27122,488.738,-211.877,346.278,-32.5083,-3.76374,6.35301,0.161728,-1.30092,-0.0134588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,86,457.889,-71.2022,226.746,0.0188966,0.868431,1.27118,488.739,-211.877,346.277,-34.0818,-3.40665,6.92107,0.123376,-1.38645,-0.0296682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,87,457.889,-71.2022,226.746,0.0188966,0.868431,1.27118,488.739,-211.877,346.277,-34.0818,-3.40665,6.92107,0.123376,-1.38645,-0.0296682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,88,457.896,-71.2042,226.746,0.0188884,0.868417,1.27118,488.739,-211.878,346.277,-34.3769,-2.86398,6.56346,0.0996811,-1.39287,-0.0304029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,89,457.901,-71.2024,226.749,0.0188879,0.868399,1.27117,488.74,-211.878,346.276,-33.6691,-2.10691,5.26378,0.0817015,-1.35867,-0.00466136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
